,@context,@id,@type,dc:date,dct:valid,odpt:busNumber,odpt:busroute,odpt:busroutePattern,odpt:frequency,odpt:fromBusstopPole,odpt:fromBusstopPoleTime,odpt:note,odpt:operator,odpt:startingBusstopPole,odpt:terminalBusstopPole,odpt:toBusstopPole,owl:sameAs
0,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100C74,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,T210,odpt.Busroute:Toei.Shibu88,odpt.BusroutePattern:Toei.Shibu88.8206.1,15,odpt.BusstopPole:Toei.Minamiaoyamananachoume.1469.2,2018-08-29T08:30:32+09:00,T210:渋８８:8206:1:南青山七丁目:西麻布,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shibuyaekimae.636.1,odpt.BusstopPole:Toei.Shimbashiekimae.737.2,odpt.BusstopPole:Toei.Nishiazabu.1130.1,odpt.Bus:Toei.Shibu88.8206.1.T210
1,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C000000000000010000031009A2,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,L699,odpt.Busroute:Toei.Shibu88,odpt.BusroutePattern:Toei.Shibu88.8206.1,15,odpt.BusstopPole:Toei.Toranomonsanchoume.1039.3,2018-08-29T08:29:59+09:00,L699:渋８８:8206:1:虎ノ門三丁目:虎ノ門,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shibuyaekimae.636.1,odpt.BusstopPole:Toei.Shimbashiekimae.737.2,odpt.BusstopPole:Toei.Toranomon.1036.1,odpt.Bus:Toei.Shibu88.8206.1.L699
2,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100C63,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,T193,odpt.Busroute:Toei.Shibu88,odpt.BusroutePattern:Toei.Shibu88.8206.2,15,odpt.BusstopPole:Toei.Toranomon.1036.2,2018-08-29T08:29:08+09:00,T193:渋８８:8206:2:虎ノ門:虎ノ門三丁目,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shimbashiekimae.737.2,odpt.BusstopPole:Toei.Shibuyaekimae.636.8,odpt.BusstopPole:Toei.Toranomonsanchoume.1039.4,odpt.Bus:Toei.Shibu88.8206.2.T193
3,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100831,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,A588,odpt.Busroute:Toei.Shibu88,odpt.BusroutePattern:Toei.Shibu88.8206.2,15,odpt.BusstopPole:Toei.Minamiaoyamananachoume.1469.1,2018-08-29T08:29:07+09:00,A588:渋８８:8206:2:南青山七丁目:南青山六丁目,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shimbashiekimae.737.2,odpt.BusstopPole:Toei.Shibuyaekimae.636.8,odpt.BusstopPole:Toei.Minamiaoyamarokuchoume.1468.2,odpt.Bus:Toei.Shibu88.8206.2.A588
4,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100CE1,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,V322,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1009.3,15,odpt.BusstopPole:Toei.Higashishinagawasanchoume.1287.2,2018-08-29T08:29:08+09:00,V322:品９１:1009:3:東品川三丁目:品川警察署入口,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.11,odpt.BusstopPole:Toei.Shinagawakeisatsushoiriguchi.2010.2,odpt.Bus:Toei.Shina91.1009.3.V322
5,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100CDF,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,V320,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1009.3,15,odpt.BusstopPole:Toei.Shinagawasougoufukushisenta-mae.2011.2,2018-08-29T08:30:18+09:00,V320:品９１:1009:3:品川総合福祉センター前:明晴学園前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.11,odpt.BusstopPole:Toei.Meiseigakuemmae.2046.1,odpt.Bus:Toei.Shina91.1009.3.V320
6,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100D3B,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,W414,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1009.3,15,odpt.BusstopPole:Toei.Yashiokouemmae.2017.1,2018-08-29T08:30:40+09:00,W414:品９１:1009:3:八潮公園前:明晴学園前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.11,odpt.BusstopPole:Toei.Meiseigakuemmae.2046.2,odpt.Bus:Toei.Shina91.1009.3.W414
7,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100DC3,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,Z538,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1009.3,15,odpt.BusstopPole:Toei.Toritsuyashiokoukoumae.836.1,2018-08-29T08:29:37+09:00,Z538:品９１:1009:3:都立八潮高校前:品川警察署入口,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.11,odpt.BusstopPole:Toei.Shinagawakeisatsushoiriguchi.2010.1,odpt.Bus:Toei.Shina91.1009.3.Z538
8,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100DC6,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,Z541,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1009.3,15,odpt.BusstopPole:Toei.Rakusuibashi.972.1,2018-08-29T08:29:42+09:00,Z541:品９１:1009:3:楽水橋（品川車庫入口）:食肉市場前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.11,odpt.BusstopPole:Toei.Shokunikushijoumae.674.1,odpt.Bus:Toei.Shina91.1009.3.Z541
9,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100825,odpt:Bus,2018-08-29T08:30:50+09:00,2018-08-29T08:31:05+09:00,A576,odpt.Busroute:Toei.Shina91,odpt.BusroutePattern:Toei.Shina91.1011.1,15,odpt.BusstopPole:Toei.Shokunikushijoumae.674.2,2018-08-29T08:30:19+09:00,A576:品９１:1011:1:食肉市場前:楽水橋（品川車庫入口）,odpt.Operator:Toei,odpt.BusstopPole:Toei.Shinagawaekikounanguchi.605.3,odpt.BusstopPole:Toei.Shinagawashi-saidoekimae.2463.1,odpt.BusstopPole:Toei.Rakusuibashi.972.2,odpt.Bus:Toei.Shina91.1011.1.A576
