,odpt:railway
0,JR-East.Keiyo
1,JR-East.Keiyo
2,JR-East.Keiyo
3,JR-East.Keiyo
4,JR-East.Keiyo
5,JR-East.Keiyo
6,JR-East.Keiyo
7,JR-East.Keiyo
8,JR-East.Keiyo
9,JR-East.Keiyo
10,JR-East.Keiyo
11,JR-East.Keiyo
12,JR-East.Keiyo
13,JR-East.Keiyo
14,JR-East.Keiyo
15,JR-East.Keiyo
16,JR-East.Keiyo
17,JR-East.Keiyo
18,JR-East.Keiyo
19,JR-East.Keiyo
20,JR-East.Keiyo
21,JR-East.JobanRapid
22,JR-East.Joban
23,JR-East.Joban
24,JR-East.JobanRapid
25,JR-East.JobanRapid
26,JR-East.Joban
27,JR-East.JobanRapid
28,JR-East.JobanRapid
29,JR-East.JobanRapid
30,JR-East.Joban
31,JR-East.JobanRapid
32,JR-East.Joban
33,JR-East.JobanRapid
34,JR-East.JobanRapid
35,JR-East.JobanRapid
36,JR-East.SaikyoKawagoe
37,JR-East.SaikyoKawagoe
38,JR-East.SaikyoKawagoe
39,JR-East.SaikyoKawagoe
40,JR-East.SaikyoKawagoe
41,JR-East.SaikyoKawagoe
42,JR-East.SaikyoKawagoe
43,JR-East.SaikyoKawagoe
44,JR-East.SaikyoKawagoe
45,JR-East.SaikyoKawagoe
46,JR-East.SaikyoKawagoe
47,JR-East.SaikyoKawagoe
48,JR-East.SaikyoKawagoe
49,JR-East.SaikyoKawagoe
50,JR-East.SaikyoKawagoe
51,JR-East.SaikyoKawagoe
52,JR-East.SaikyoKawagoe
53,JR-East.SaikyoKawagoe
54,JR-East.SaikyoKawagoe
55,JR-East.SaikyoKawagoe
56,JR-East.SaikyoKawagoe
57,JR-East.SaikyoKawagoe
58,JR-East.SaikyoKawagoe
59,JR-East.SaikyoKawagoe
60,JR-East.SaikyoKawagoe
61,JR-East.SaikyoKawagoe
62,JR-East.SaikyoKawagoe
63,JR-East.Nambu
64,JR-East.Nambu
65,JR-East.Nambu
66,JR-East.Nambu
67,JR-East.Nambu
68,JR-East.Nambu
69,JR-East.Nambu
70,JR-East.Nambu
71,JR-East.Nambu
72,JR-East.Nambu
73,JR-East.Nambu
74,JR-East.Nambu
75,JR-East.Nambu
76,JR-East.Nambu
77,JR-East.Nambu
78,JR-East.Nambu
79,JR-East.Nambu
80,JR-East.Nambu
81,JR-East.Nambu
82,JR-East.Nambu
83,JR-East.Nambu
84,JR-East.Nambu
85,JR-East.Nambu
86,JR-East.Nambu
87,JR-East.Nambu
88,JR-East.Nambu
89,JR-East.Nambu
90,JR-East.Nambu
91,JR-East.Takasaki
92,JR-East.Takasaki
93,JR-East.Yamanote
94,JR-East.Yamanote
95,JR-East.Yamanote
96,JR-East.Yamanote
97,JR-East.Yamanote
98,JR-East.Yamanote
99,JR-East.Yamanote
100,JR-East.Yamanote
101,JR-East.Yamanote
102,JR-East.Yamanote
103,JR-East.Yamanote
104,JR-East.Yamanote
105,JR-East.Yamanote
106,JR-East.Yamanote
107,JR-East.Yamanote
108,JR-East.Yamanote
109,JR-East.Yamanote
110,JR-East.Yamanote
111,JR-East.Yamanote
112,JR-East.Yamanote
113,JR-East.Yamanote
114,JR-East.Yamanote
115,JR-East.Yamanote
116,JR-East.Yamanote
117,JR-East.Yamanote
118,JR-East.Yamanote
119,JR-East.Yamanote
120,JR-East.Yamanote
121,JR-East.Yamanote
122,JR-East.Yamanote
123,JR-East.Yamanote
124,JR-East.Yamanote
125,JR-East.Yamanote
126,JR-East.Yamanote
127,JR-East.Yamanote
128,JR-East.Yamanote
129,JR-East.Yamanote
130,JR-East.Yamanote
131,JR-East.Yamanote
132,JR-East.Yamanote
133,JR-East.Yamanote
134,JR-East.Yamanote
135,JR-East.Yamanote
136,JR-East.Yamanote
137,JR-East.Yamanote
138,JR-East.Yamanote
139,JR-East.Yamanote
140,JR-East.Yamanote
141,JR-East.Tokaido
142,JR-East.Yokosuka
143,JR-East.Yokosuka
144,JR-East.Yokosuka
145,JR-East.Yokosuka
146,JR-East.Yokosuka
147,JR-East.Yokosuka
148,JR-East.Yokosuka
149,JR-East.Yokosuka
150,JR-East.Yokosuka
151,JR-East.Yokosuka
152,JR-East.Yokosuka
153,JR-East.Yokosuka
154,JR-East.Yokosuka
155,JR-East.Yokosuka
156,JR-East.Yokosuka
157,JR-East.Yokosuka
158,JR-East.Yokosuka
159,JR-East.Yokosuka
160,JR-East.Yokosuka
161,JR-East.Yokosuka
162,JR-East.Yokosuka
163,JR-East.Yokosuka
164,JR-East.Yokosuka
165,JR-East.Chuo
166,JR-East.Chuo
167,JR-East.Chuo
168,JR-East.Chuo
169,JR-East.Chuo
170,JR-East.Chuo
171,JR-East.Chuo
172,JR-East.Chuo
173,JR-East.Chuo
174,JR-East.Chuo
175,JR-East.Chuo
176,JR-East.Chuo
177,JR-East.Chuo
178,JR-East.ChuoRapid
179,JR-East.ChuoRapid
180,JR-East.ChuoRapid
181,JR-East.Chuo
182,JR-East.ChuoRapid
183,JR-East.ChuoRapid
184,JR-East.Yokohama
185,JR-East.Yokohama
186,JR-East.Yokohama
187,JR-East.Yokohama
188,JR-East.Yokohama
189,JR-East.Yokohama
190,JR-East.Yokohama
191,JR-East.Yokohama
192,JR-East.Yokohama
193,JR-East.Yokohama
194,JR-East.KeihinTohokuNegishi
195,JR-East.KeihinTohokuNegishi
196,JR-East.Yokohama
197,JR-East.Yokohama
198,JR-East.Yokohama
199,JR-East.Yokohama
200,JR-East.Yokohama
201,JR-East.Yokohama
202,JR-East.Yokohama
203,JR-East.Yokohama
204,JR-East.Yokohama
205,JR-East.KeihinTohokuNegishi
206,JR-East.Yokohama
207,JR-East.Yokohama
208,JR-East.Itsukaichi
209,JR-East.Itsukaichi
210,JR-East.Ome
211,JR-East.Itsukaichi
212,JR-East.Musashino
213,JR-East.Musashino
214,JR-East.Keiyo
215,JR-East.Keiyo
216,JR-East.Musashino
217,JR-East.Musashino
218,JR-East.Musashino
219,JR-East.Musashino
220,JR-East.Keiyo
221,JR-East.Keiyo
222,JR-East.Keiyo
223,JR-East.Keiyo
224,JR-East.Musashino
225,JR-East.Musashino
226,JR-East.Musashino
227,JR-East.Musashino
228,JR-East.Musashino
229,JR-East.Musashino
230,JR-East.Musashino
231,JR-East.Musashino
232,JR-East.Musashino
233,JR-East.Keiyo
234,JR-East.Musashino
235,JR-East.Musashino
236,JR-East.Musashino
237,JR-East.Musashino
238,JR-East.Musashino
239,JR-East.Musashino
240,JR-East.SobuRapid
241,JR-East.SobuRapid
242,JR-East.SobuRapid
243,JR-East.SobuRapid
244,JR-East.SobuRapid
245,JR-East.SobuRapid
246,JR-East.SobuRapid
247,JR-East.SobuRapid
248,JR-East.SobuRapid
249,JR-East.SobuRapid
250,JR-East.SobuRapid
251,JR-East.SobuRapid
252,JR-East.SobuRapid
253,JR-East.SobuRapid
254,JR-East.SobuRapid
255,JR-East.SobuRapid
256,JR-East.ShonanShinjuku
257,JR-East.ShonanShinjuku
258,JR-East.ShonanShinjuku
259,JR-East.Utsunomiya
260,JR-East.Utsunomiya
