,@context,@id,@type,dc:date,dct:valid,odpt:busNumber,odpt:busroute,odpt:busroutePattern,odpt:frequency,odpt:fromBusstopPole,odpt:fromBusstopPoleTime,odpt:note,odpt:operator,odpt:startingBusstopPole,odpt:terminalBusstopPole,odpt:toBusstopPole,owl:sameAs
0,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100C09,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,S158,odpt.Busroute:Toei.Toyosu01,odpt.BusroutePattern:Toei.Toyosu01.73302.1,15,odpt.BusstopPole:Toei.Shinonomebashikousaten.621.2,2018-08-29T08:39:12+09:00,S158:豊洲０１:73302:1:東雲橋交差点:豊洲駅前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Kyanaruko-tosangaikumae.2495.1,odpt.BusstopPole:Toei.Toyosuekimae.1025.6,odpt.BusstopPole:Toei.Toyosuekimae.1025.6,odpt.Bus:Toei.Toyosu01.73302.1.S158
1,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100C16,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,S171,odpt.Busroute:Toei.Toyosu01,odpt.BusroutePattern:Toei.Toyosu01.73303.3,15,odpt.BusstopPole:Toei.Shinonomebashikousaten.621.1,2018-08-29T08:42:07+09:00,S171:豊洲０１:73303:3:東雲橋交差点:キャナルコート（３街区前）,odpt.Operator:Toei,odpt.BusstopPole:Toei.Toyosuekimae.1025.6,odpt.BusstopPole:Toei.Kyanaruko-tosangaikumae.2495.1,odpt.BusstopPole:Toei.Kyanaruko-tosangaikumae.2495.1,odpt.Bus:Toei.Toyosu01.73303.3.S171
2,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100D3A,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,W413,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Monzennakachou.1544.5,2018-08-29T08:39:50+09:00,W413:海０１:72801:1:門前仲町:越中島,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Ecchuujima.170.2,odpt.Bus:Toei.Umi01.72801.1.W413
3,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100D34,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,W407,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Shiohamaicchoume.593.2,2018-08-29T08:40:21+09:00,W407:海０１:72801:1:塩浜一丁目:枝川,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Edagawa.166.3,odpt.Bus:Toei.Umi01.72801.1.W407
4,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100B92,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,R548,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Fukagawagochuumae.619.2,2018-08-29T08:42:17+09:00,R548:海０１:72801:1:深川五中前:東雲橋交差点,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Shinonomebashikousaten.621.1,odpt.Bus:Toei.Umi01.72801.1.R548
5,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100A85,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,N271,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Fukagawashakoiriguchi.1361.2,2018-08-29T08:42:24+09:00,N271:海０１:72801:1:深川車庫入口:東雲都橋,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Shinonomemiyakobashi.620.2,odpt.Bus:Toei.Umi01.72801.1.N271
6,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100D40,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,W419,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Ariakeshouchuugakkoumae.75.2,2018-08-29T08:41:47+09:00,W419:海０１:72801:1:有明小中学校前:かえつ学園西,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Kaetsugakuennishi.2594.1,odpt.Bus:Toei.Umi01.72801.1.W419
7,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100CDE,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,V319,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Ariakenichoume.77.2,2018-08-29T08:42:05+09:00,V319:海０１:72801:1:有明二丁目:有明テニスの森,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Ariaketenisunomori.74.2,odpt.Bus:Toei.Umi01.72801.1.V319
8,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100C4B,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,S695,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Daibanichoume.2558.1,2018-08-29T08:40:36+09:00,S695:海０１:72801:1:台場二丁目:フジテレビ前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Fujiterebimae.2346.2,odpt.Bus:Toei.Umi01.72801.1.S695
9,http://vocab.odpt.org/context_odpt_Bus.jsonld,urn:ucode:_00001C00000000000001000003100CDC,odpt:Bus,2018-08-29T08:42:51+09:00,2018-08-29T08:43:06+09:00,V317,odpt.Busroute:Toei.Umi01,odpt.BusroutePattern:Toei.Umi01.72801.1,15,odpt.BusstopPole:Toei.Daibaekimae.2329.2,2018-08-29T08:42:48+09:00,V317:海０１:72801:1:台場駅前:船の科学館駅前,odpt.Operator:Toei,odpt.BusstopPole:Toei.Monzennakachou.1544.5,odpt.BusstopPole:Toei.Toukyouterepo-toekimae.2326.7,odpt.BusstopPole:Toei.Funenokagakukanekimae.302.2,odpt.Bus:Toei.Umi01.72801.1.V317
