,@type,dc:date,odpt:actualTime,odpt:aircraftModel,odpt:airline,odpt:departureAirport,odpt:destinationAirport,odpt:estimatedTime,odpt:flightNumber,odpt:flightStatus,odpt:operator,odpt:scheduledTime,odpt:terminal,owl:sameAs
0,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:GCR,odpt.Airport:TSN,odpt.Airport:HND,00:02,"['GS7989', 'HU8135']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,00:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.GS7989
1,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:PAL,odpt.Airport:MNL,odpt.Airport:HND,00:14,"['PR0424', 'NH5332']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,00:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.PR0424
2,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:APJ,odpt.Airport:TPE,odpt.Airport:HND,00:59,['MM0858'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,00:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.MM0858
3,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:APJ,odpt.Airport:ICN,odpt.Airport:HND,01:13,['MM0808'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,00:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.MM0808
4,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:DKH,odpt.Airport:PVG,odpt.Airport:HND,00:45,"['HO1385', 'NH9757']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,01:10,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.HO1385
5,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:TTW,odpt.Airport:TPE,odpt.Airport:HND,03:39,['IT0216'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,04:00,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.IT0216
6,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:ANA,odpt.Airport:LAX,odpt.Airport:HND,04:32,"['NH0105', 'UA7983']",odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,04:50,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.NH0105
7,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:HKE,odpt.Airport:HHP,odpt.Airport:HND,05:03,['UO0624'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,04:55,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.UO0624
8,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:APJ,odpt.Airport:PVG,odpt.Airport:HND,05:01,['MM0898'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:05,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.MM0898
9,odpt:FlightInformationArrival,2018-08-29T08:45:39+09:00,,,odpt.Airline:JAL,odpt.Airport:LHR,odpt.Airport:HND,05:07,['JL0042'],odpt.FlightStatus:Arrived,odpt.Operator:HND-TIAT,05:15,odpt.AirportTerminal:HND.InternationalPassengerTerminal,odpt.FlightInformationArrival:HND.JL0042
