,@context,@id,@type,dc:date,odpt:operator,odpt:passengerSurveyObject,odpt:railway,odpt:station,owl:sameAs
0,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027A,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 9180}]",['odpt.Railway:Keikyu.Airport'],['odpt.Station:Keikyu.Airport.AnamoriInari'],odpt.PassengerSurvey:Keikyu.AnamoriInari
1,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027B,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 2419}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.Anjinzuka'],odpt.PassengerSurvey:Keikyu.Anjinzuka
2,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027C,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 21473}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.AomonoYokocho'],odpt.PassengerSurvey:Keikyu.AomonoYokocho
3,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027D,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 9044}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.Byobugaura'],odpt.PassengerSurvey:Keikyu.Byobugaura
4,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027E,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 14940}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.Gumyoji'],odpt.PassengerSurvey:Keikyu.Gumyoji
5,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000320027F,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 44756}]",['odpt.Railway:Keikyu.Airport'],['odpt.Station:Keikyu.Airport.HanedaAirportDomesticTerminal'],odpt.PassengerSurvey:Keikyu.HanedaAirportDomesticTerminal
6,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003200280,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 12820}]",['odpt.Railway:Keikyu.Airport'],['odpt.Station:Keikyu.Airport.HanedaAirportInternationalTerminal'],odpt.PassengerSurvey:Keikyu.HanedaAirportInternationalTerminal
7,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003200281,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 8038}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.HatchoNawate'],odpt.PassengerSurvey:Keikyu.HatchoNawate
8,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003200282,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 23999}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.Heiwajima'],odpt.PassengerSurvey:Keikyu.Heiwajima
9,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003200283,odpt:PassengerSurvey,2018-07-27T16:00:00+09:00,odpt.Operator:Keikyu,"[{'odpt:surveyYear': 2017, 'odpt:passengerJourneys': 2644}]",['odpt.Railway:Keikyu.Main'],['odpt.Station:Keikyu.Main.Hemi'],odpt.PassengerSurvey:Keikyu.Hemi
