,@context,@id,@type,dc:date,dc:title,geo:lat,geo:long,odpt:connectingRailway,odpt:operator,odpt:passengerSurvey,odpt:railway,odpt:stationCode,odpt:stationTimetable,odpt:stationTitle,owl:sameAs
0,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102661,odpt:Station,2018-09-12T13:00:00+09:00,蘇我,35.58213272495779,140.13065376946722,"['odpt.Railway:JR-East.Sotobo', 'odpt.Railway:JR-East.Uchibo']",odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Soga'],odpt.Railway:JR-East.Keiyo,,"['odpt.StationTimetable:JR-East.Keiyo.Soga.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Keiyo.Soga.Inbound.SaturdayHoliday']","{'en': 'Soga', 'ja': '蘇我'}",odpt.Station:JR-East.Keiyo.Soga
1,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310264F,odpt:Station,2018-09-12T13:00:00+09:00,東京,35.681282435644995,139.7670682882786,"['odpt.Railway:JR-East.ChuoRapid', 'odpt.Railway:JR-East.JobanRapid', 'odpt.Railway:JR-East.KeihinTohokuNegishi', 'odpt.Railway:JR-East.SobuRapid', 'odpt.Railway:JR-East.Takasaki', 'odpt.Railway:JR-East.Tokaido', 'odpt.Railway:JR-East.Utsunomiya', 'odpt.Railway:JR-East.Yamanote', 'odpt.Railway:JR-East.Yokosuka', 'odpt.Railway:TokyoMetro.Marunouchi']",odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Tokyo'],odpt.Railway:JR-East.Keiyo,JE01,"['odpt.StationTimetable:JR-East.Keiyo.Tokyo.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Keiyo.Tokyo.Outbound.SaturdayHoliday']","{'en': 'Tokyo', 'ja': '東京'}",odpt.Station:JR-East.Keiyo.Tokyo
2,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310260E,odpt:Station,2018-09-12T13:00:00+09:00,祗園,,,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Gion'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Gion.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Gion.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Gion.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Gion.Outbound.SaturdayHoliday']","{'en': 'Gion', 'ja': '祗園'}",odpt.Station:JR-East.Kururi.Gion
3,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102610,odpt:Station,2018-09-12T13:00:00+09:00,東清川,35.38992852862222,139.98567466022888,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.HigashiKiyokawa'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.HigashiKiyokawa.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.HigashiKiyokawa.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.HigashiKiyokawa.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.HigashiKiyokawa.Outbound.SaturdayHoliday']","{'en': 'Higashi-Kiyokawa', 'ja': '東清川'}",odpt.Station:JR-East.Kururi.HigashiKiyokawa
4,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102613,odpt:Station,2018-09-12T13:00:00+09:00,東横田,35.38604093370112,140.03594844182584,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.HigashiYokota'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.HigashiYokota.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.HigashiYokota.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.HigashiYokota.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.HigashiYokota.Outbound.SaturdayHoliday']","{'en': 'Higashi-Yokota', 'ja': '東横田'}",odpt.Station:JR-East.Kururi.HigashiYokota
5,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310261A,odpt:Station,2018-09-12T13:00:00+09:00,平山,35.27410896137945,140.06456233068278,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Hirayama'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Hirayama.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Hirayama.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Hirayama.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Hirayama.Outbound.SaturdayHoliday']","{'en': 'Hirayama', 'ja': '平山'}",odpt.Station:JR-East.Kururi.Hirayama
6,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310261C,odpt:Station,2018-09-12T13:00:00+09:00,上総亀山,35.23300267885056,140.08928439257082,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.KazusaKameyama'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.KazusaKameyama.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.KazusaKameyama.Inbound.SaturdayHoliday']","{'en': 'Kazusa-Kameyama', 'ja': '上総亀山'}",odpt.Station:JR-East.Kururi.KazusaKameyama
7,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310260F,odpt:Station,2018-09-12T13:00:00+09:00,上総清川,35.39076141869945,139.96539852801362,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.KazusaKiyokawa'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.KazusaKiyokawa.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.KazusaKiyokawa.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.KazusaKiyokawa.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.KazusaKiyokawa.Outbound.SaturdayHoliday']","{'en': 'Kazusa-Kiyokawa', 'ja': '上総清川'}",odpt.Station:JR-East.Kururi.KazusaKiyokawa
8,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310261B,odpt:Station,2018-09-12T13:00:00+09:00,上総松丘,35.25799956364944,140.06400756298555,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.KazusaMatsuoka'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.KazusaMatsuoka.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.KazusaMatsuoka.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.KazusaMatsuoka.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.KazusaMatsuoka.Outbound.SaturdayHoliday']","{'en': 'Kazusa-Matsuoka', 'ja': '上総松丘'}",odpt.Station:JR-East.Kururi.KazusaMatsuoka
9,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C0000000000000100000310260D,odpt:Station,2018-09-12T13:00:00+09:00,木更津,35.38159504355,139.92595778116916,['odpt.Railway:JR-East.Uchibo'],odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Kisarazu'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Kisarazu.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Kisarazu.Outbound.SaturdayHoliday']","{'en': 'Kisarazu', 'ja': '木更津'}",odpt.Station:JR-East.Kururi.Kisarazu
10,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102619,odpt:Station,2018-09-12T13:00:00+09:00,久留里,35.29549575192,140.07539377968195,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Kururi'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Kururi.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Kururi.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Kururi.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Kururi.Outbound.SaturdayHoliday']","{'en': 'Kururi', 'ja': '久留里'}",odpt.Station:JR-East.Kururi.Kururi
11,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102615,odpt:Station,2018-09-12T13:00:00+09:00,馬来田,35.36659896178001,140.05844746854166,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Makuta'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Makuta.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Makuta.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Makuta.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Makuta.Outbound.SaturdayHoliday']","{'en': 'Makuta', 'ja': '馬来田'}",odpt.Station:JR-East.Kururi.Makuta
12,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102617,odpt:Station,2018-09-12T13:00:00+09:00,小櫃,35.327992004382786,140.05983801967142,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Obitsu'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Obitsu.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Obitsu.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Obitsu.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Obitsu.Outbound.SaturdayHoliday']","{'en': 'Obitsu', 'ja': '小櫃'}",odpt.Station:JR-East.Kururi.Obitsu
13,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102616,odpt:Station,2018-09-12T13:00:00+09:00,下郡,35.354933489501114,140.05539270383863,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Shimogori'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Shimogori.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Shimogori.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Shimogori.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Shimogori.Outbound.SaturdayHoliday']","{'en': 'Shimogori', 'ja': '下郡'}",odpt.Station:JR-East.Kururi.Shimogori
14,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102618,odpt:Station,2018-09-12T13:00:00+09:00,俵田,35.31458894357417,140.0614303490417,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Tawarada'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Tawarada.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Tawarada.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Tawarada.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Tawarada.Outbound.SaturdayHoliday']","{'en': 'Tawarada', 'ja': '俵田'}",odpt.Station:JR-East.Kururi.Tawarada
15,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C00000000000001000003102611,odpt:Station,2018-09-12T13:00:00+09:00,横田,35.38604065718778,140.02011642334003,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Yokota'],odpt.Railway:JR-East.Kururi,,"['odpt.StationTimetable:JR-East.Kururi.Yokota.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Yokota.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Kururi.Yokota.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Kururi.Yokota.Outbound.SaturdayHoliday']","{'en': 'Yokota', 'ja': '横田'}",odpt.Station:JR-East.Kururi.Yokota
16,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031028CC,odpt:Station,2018-09-12T13:00:00+09:00,府中本町,35.66572347919611,139.47709308689528,['odpt.Railway:JR-East.Nambu'],odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Fuchuhommachi'],odpt.Railway:JR-East.Musashino,JM35,"['odpt.StationTimetable:JR-East.Musashino.Fuchuhommachi.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Musashino.Fuchuhommachi.Outbound.SaturdayHoliday']","{'en': 'Fuchuhommachi', 'ja': '府中本町'}",odpt.Station:JR-East.Musashino.Fuchuhommachi
17,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031028E4,odpt:Station,2018-09-12T13:00:00+09:00,船橋法典,35.730169583816114,139.96677167422166,,odpt.Operator:JR-East,['odpt.PassengerSurvey:JR-East.Funabashihoten'],odpt.Railway:JR-East.Musashino,JM11,"['odpt.StationTimetable:JR-East.Musashino.Funabashihoten.Inbound.Weekday', 'odpt.StationTimetable:JR-East.Musashino.Funabashihoten.Inbound.SaturdayHoliday', 'odpt.StationTimetable:JR-East.Musashino.Funabashihoten.Outbound.Weekday', 'odpt.StationTimetable:JR-East.Musashino.Funabashihoten.Outbound.SaturdayHoliday']","{'en': 'Funabashihoten', 'ja': '船橋法典'}",odpt.Station:JR-East.Musashino.Funabashihoten
