,@context,@id,@type,dc:date,dct:valid,odpt:carComposition,odpt:delay,odpt:destinationStation,odpt:frequency,odpt:fromStation,odpt:index,odpt:operator,odpt:originStation,odpt:railDirection,odpt:railway,odpt:toStation,odpt:trainNumber,odpt:trainOwner,odpt:trainType,owl:sameAs
0,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC728,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Wakoshi,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,,A1528K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1528K
1,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC726,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Heiwadai,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,,A1553K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1553K
2,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC725,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.KotakeMukaihara,,odpt.Operator:TokyoMetro,['odpt.Station:Seibu.Ikebukuro.Hoya'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,,A1407S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1407S
3,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC723,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro,,odpt.Operator:TokyoMetro,['odpt.Station:Tobu.Tojo.ShinrinKoen'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.Zoshigaya,A1431S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Express,odpt.Train:TokyoMetro.Fukutoshin.A1431S
4,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC722,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.Zoshigaya,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,,A1425K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1425K
5,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FCA78,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.HigashiShinjuku,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.ShinjukuSanchome,A1418K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1418K
6,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FCA7E,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.KitaSando,,odpt.Operator:TokyoMetro,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,,A1417K,odpt.Operator:Tokyu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.A1417K
7,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC720,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],30.0,odpt.Station:TokyoMetro.Fukutoshin.MeijiJingumae,,odpt.Operator:TokyoMetro,['odpt.Station:Seibu.Ikebukuro.Kotesashi'],odpt.RailDirection:TokyoMetro.Shibuya,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.Shibuya,A1416M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Express,odpt.Train:TokyoMetro.Fukutoshin.A1416M
8,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8D0,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Fukutoshin.Wakoshi'],30.0,odpt.Station:TokyoMetro.Fukutoshin.KitaSando,,odpt.Operator:TokyoMetro,['odpt.Station:Minatomirai.Minatomirai.MotomachiChukagai'],odpt.RailDirection:TokyoMetro.Wakoshi,odpt.Railway:TokyoMetro.Fukutoshin,,B1402M,odpt.Operator:Seibu,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1402M
9,http://vocab.odpt.org/context_odpt.jsonld,urn:ucode:_00001C000000000000010000031FC8CE,odpt:Train,2018-09-17T15:11:41+09:00,2018-09-17T15:12:11+09:00,,0.0,['odpt.Station:TokyoMetro.Fukutoshin.Ikebukuro'],30.0,odpt.Station:TokyoMetro.Fukutoshin.ShinjukuSanchome,,odpt.Operator:TokyoMetro,['odpt.Station:Tokyu.Toyoko.Kikuna'],odpt.RailDirection:TokyoMetro.Ikebukuro,odpt.Railway:TokyoMetro.Fukutoshin,odpt.Station:TokyoMetro.Fukutoshin.HigashiShinjuku,B1402S,odpt.Operator:TokyoMetro,odpt.TrainType:TokyoMetro.Local,odpt.Train:TokyoMetro.Fukutoshin.B1402S
